year,surveyID,beachID,beach_name,beach_county,beach_region,lat,lon,survey_window,wind_direction,wind_strength,sea_state,tot_survey_hours,number_volunteers,length_surveyed_metres,lighters_tobacco_pouches,cigarette_packets,cigarette_stubs
2008,31739,2570,Instow,Devon,South West England,51.05472566,-4.181893094,Winter 2008,,,,1,16,100,6,5,2
2008,31775,2611,Shoreham Beach ,West Sussex,South East England,50.82645586,-0.249576499,Winter 2008,,,Rough,1,68,100,3,1,0
2008,31741,3256,Rustington,West Sussex,South East England,50.80249032,-0.511658192,Winter 2008,,Light,Moderate,1.25,21,100,1,2,0
2009,31774,2076,Temple,Fife,Scotland,56.209018,-2.958633,Winter 2008,Onshore,Strong,Calm,1,8,100,1,1,0
2009,31771,2175,Balmedie Beach,Aberdeenshire,Scotland,57.25018177,-2.041436153,Winter 2008,Onshore,Light,Calm,1,1,100,0,0,0
2009,31812,2198,Tan-y-Bwlch,Ceredigion,Wales,52.40365506,-4.089061404,Winter 2008,Onshore,Strong,Moderate,2,9,100,6,0,0
2009,31777,3339,Troon South Beach,Ayrshire - South,Scotland,55.5375196,-4.656765461,Winter 2008,,Light,Calm,1,16,100,4,0,4
2009,31804,2582,Budds Farm,Hampshire,South East England,50.84144188,-0.995753064,Winter 2008,Offshore,,Calm,1.5,4,100,4,0,0
2009,31795,2109,Cramond,Edinburgh,Scotland,55.98064765,-3.299310207,Winter 2008,,,,1.25,46,100,2,0,5
2009,31801,2981,Arbroath West,Angus,Scotland,56.55644933,-2.579410672,Winter 2008,,,,0,9,100,0,0,0
2009,31853,3442,Swanbridge Bay,Vale of Glamorgan,Wales,51.39968059,-3.196565509,Winter 2008,Onshore,Strong,Moderate,1,7,100,2,22,0
2009,31785,3116,Langland Bay,Swansea,Wales,51.56783504,-4.013185666,Winter 2008,Onshore,Light,Rough,1.25,43,100,7,1,1
2009,31796,2173,Sand Bay,Somerset,South West England,51.37673635,-2.961770296,Winter 2008,Offshore,Light,Moderate,1,16,100,6,0,2
2009,31984,3041,Swansea Bay,Swansea,Wales,51.61782963,-3.864955698,Winter 2008,,Strong,Rough,3,10,100,3,0,8
2009,31794,2099,West Angle Bay,Pembrokeshire,Wales,51.68683831,-5.107904782,Winter 2008,Onshore,Strong,Moderate,0.33,7,100,0,0,0
2009,31814,2956,Grunta,Devon,South West England,51.18266768,-4.217983873,Winter 2008,Onshore,Strong,Rough,0.75,2,100,0,0,0
2009,31799,2892,Broughton,Vale of Glamorgan,Wales,51.42502781,-3.582325406,Winter 2008,Offshore,Light,Rough,1,2,100,2,0,0
2009,31803,3487,Porth Y Rhaw,Pembrokeshire,Wales,51.87329831,-5.217894316,Winter 2008,Onshore,Strong,Rough,1,2,100,0,0,0
2009,31810,2254,Linkim Shore,Scottish Borders,Scotland,55.88474722,-2.126530409,Winter 2008,Offshore,Light,Moderate,-0.5,6,100,1,0,0
2009,31815,2987,Porth Cwyfan,Isle of Anglesey,Wales,53.186339,-4.488258362,Winter 2008,Offshore,Light,Moderate,1.5,30,100,2,0,0
2009,31825,3500,Kingsdown 2 ,Kent,South East England,51.18577989,1.398997643,Winter 2008,,Light,Moderate,1,14,100,0,0,0
2009,31811,3591,Esplanade,Argyll and Bute,Scotland,56.41927521,-5.479533076,Winter 2008,Onshore,Light,Calm,1,35,100,2,4,2
2009,31821,2976,Tate Hill Sands,North Yorkshire,North East England,54.48957291,-0.611983538,Winter 2008,,Light,Calm,1.25,18,100,4,0,1
2009,31861,3431,Seatown East,Dorset,South West England,50.72041065,-2.818148732,Winter 2008,,Light,Calm,0.75,3,100,0,0,0
2009,31831,2493,Thurstaston (Dee Estuary),Wirral,North West England,53.34791119,-3.156817062,Winter 2008,,Strong,Calm,2,8,100,1,18,0
2009,46311,3493,Aymer,Devon,South West England,50.29408252,-3.90958786,Winter 2008,,,Moderate,0,10,100,11,0,2
2009,46312,3581,Meadowsfoot,Devon,South West England,50.30878657,-3.942478851,Winter 2008,,,Moderate,0,10,100,6,0,9
2009,31847,2320,West Beach,East Sussex,South East England,50.781049,0.053073,Winter 2008,,Strong,Rough,1,8,100,4,0,0
2009,31838,2284,Jackson's Bay,Vale of Glamorgan,Wales,51.39223037,-3.264666796,Winter 2008,Onshore,Light,Calm,2,5,100,0,0,29
2009,31840,3341,Fairbourne,Gwynedd,Wales,52.69916381,-4.057261218,Winter 2008,Onshore,Light,Calm,1,10,100,0,0,0
2009,31986,2725,Porth Ysgaden,Gwynedd,Wales,52.905013,-4.648561,Spring 2009,,Light,Calm,0,6,100,0,0,0
2009,32736,3332,Soar Mill Cove,Devon,South West England,50.22246476,-3.829606465,Spring 2009,,,Moderate,0,11,100,25,0,1
2009,32751,3769,Hope Cove,Devon,South West England,50.24225998,-3.85771918,Spring 2009,,,Moderate,0,17,100,11,1,14
2009,46310,2249,South Milton Sands,Devon,South West England,50.25818098,-3.857713938,Spring 2009,,,Moderate,0,12,100,2,1,8
2009,32737,2333,Wembury,Devon,South West England,50.31626827,-4.081865983,Spring 2009,,,Moderate,1,9,100,14,0,19
2009,31837,2382,Silverburn,Fife,Scotland,56.20595412,-2.970520132,Spring 2009,,Light,Moderate,2,5,100,0,0,1
